[Background] [castle_background1.jpg]
[WoodBlock] [0.13111111111111112] [0.056338028169014086] [0.7140740740740741] [0.7433489827856025]
[WoodBlock] [0.014814814814814815] [0.12519561815336464] [0.7140740740740741] [0.6181533646322379]
[WoodBlock] [0.014814814814814815] [0.12519561815336464] [0.8303703703703704] [0.6197183098591549]
[WoodBlock] [0.014814814814814815] [0.12519561815336464] [0.6755555555555556] [0.6744913928012519]
[WoodBlock] [0.028888888888888888] [0.04381846635367762] [0.5222222222222223] [0.755868544600939]
[WoodBlock] [0.017037037037037038] [0.0297339593114241] [0.5281481481481481] [0.7276995305164319]
[RedBird] [0.022222222222222223] [0.05] [0.10] [0.7057902973395931]
[RedBird] [0.022222222222222223] [0.05] [0.18] [0.7073552425665102]
[RedBird] [0.022222222222222223] [0.05] [0.14] [0.7057902973395931]
[RedBird] [0.022222222222222223] [0.05] [0.06] [0.7057902973395931]
[RedBird] [0.022222222222222223] [0.05] [0.02] [0.7057902973395931]
[BasicPig] [0.022222222222222223] [0.05] [0.7696296296296297] [0.6932707355242567]
[WoodBlock] [0.12518518518518518] [0.0406885758998435] [0.7162962962962963] [0.5790297339593115]
[WoodBlock] [0.014074074074074074] [0.06416275430359937] [0.8118518518518518] [0.514866979655712]
[Slingshot] [0.03333333333333333] [0.16] [0.2644444444444444] [0.6416275430359938]
