[Background] [blue_sky_background.jpg]
[Slingshot] [0.03333333333333333] [0.16] [0.48074074074074075] [0.6431924882629108]
[WoodBlock] [0.035555555555555556] [0.014084507042253521] [0.8592592592592593] [0.7856025039123631]
[WoodBlock] [0.035555555555555556] [0.012519561815336464] [0.09555555555555556] [0.7871674491392802]
[WoodBlock] [0.0437037037037037] [0.014084507042253521] [0.9237037037037037] [0.7856025039123631]
[WoodBlock] [0.037037037037037035] [0.012519561815336464] [0.03037037037037037] [0.7871674491392802]
[WoodBlock] [0.037037037037037035] [0.012519561815336464] [0.16296296296296298] [0.7871674491392802]
[BasicPig] [0.022222222222222223] [0.05] [0.03777777777777778] [0.7370892018779343]
[BasicPig] [0.022222222222222223] [0.05] [0.10222222222222223] [0.7355242566510172]
[BasicPig] [0.022222222222222223] [0.05] [0.1711111111111111] [0.7355242566510172]
[BasicPig] [0.022222222222222223] [0.05] [0.9348148148148148] [0.7355242566510172]
[BasicPig] [0.022222222222222223] [0.05] [0.802962962962963] [0.7339593114241002]
[BasicPig] [0.022222222222222223] [0.05] [0.8651851851851852] [0.7370892018779343]
[WoodBlock] [0.03925925925925926] [0.01564945226917058] [0.7925925925925926] [0.784037558685446]
[WoodBlock] [0.015555555555555555] [0.17683881064162754] [0.6481481481481481] [0.622848200312989]
[WoodBlock] [0.014814814814814815] [0.17214397496087636] [0.32814814814814813] [0.6275430359937402]
[BlueBird] [0.022222222222222223] [0.05] [0.34814814814814815] [0.7464788732394366]
[RedBird] [0.022222222222222223] [0.05] [0.37333333333333335] [0.7464788732394366]
[RedBird] [0.022222222222222223] [0.05] [0.39925925925925926] [0.7464788732394366]
[RedBird] [0.022222222222222223] [0.05] [0.562962962962963] [0.7464788732394366]
[BlueBird] [0.022222222222222223] [0.05] [0.617037037037037] [0.7464788732394366]
[RedBird] [0.022222222222222223] [0.05] [0.5903703703703703] [0.7464788732394366]
