[Background] [sky_mountain_background.jpg]
[WoodBlock] [0.03851851851851852] [0.014084507042253521] [0.6881481481481482] [0.7856025039123631]
[WoodBlock] [0.04] [0.012519561815336464] [0.8881481481481481] [0.7871674491392802]
[WoodBlock] [0.040740740740740744] [0.012519561815336464] [0.8340740740740741] [0.7871674491392802]
[WoodBlock] [0.040740740740740744] [0.012519561815336464] [0.782962962962963] [0.7871674491392802]
[WoodBlock] [0.03777777777777778] [0.010954616588419406] [0.7340740740740741] [0.7887323943661971]
[WoodBlock] [0.045925925925925926] [0.010954616588419406] [0.9407407407407408] [0.7887323943661971]
[WoodBlock] [0.03333333333333333] [0.010954616588419406] [0.3851851851851852] [0.7887323943661971]
[WoodBlock] [0.03037037037037037] [0.010954616588419406] [0.34444444444444444] [0.7887323943661971]
[WoodBlock] [0.045925925925925926] [0.010954616588419406] [0.5281481481481481] [0.7887323943661971]
[WoodBlock] [0.040740740740740744] [0.009389671361502348] [0.6392592592592593] [0.7902973395931142]
[WoodBlock] [0.044444444444444446] [0.009389671361502348] [0.5844444444444444] [0.7902973395931142]
[WoodBlock] [0.0362962962962963] [0.010954616588419406] [0.48074074074074075] [0.7887323943661971]
[WoodBlock] [0.03481481481481481] [0.009389671361502348] [0.4311111111111111] [0.7902973395931142]
[BasicPig] [0.022222222222222223] [0.05] [0.9533333333333334] [0.7386541471048513]
[BasicPig] [0.022222222222222223] [0.05] [0.8977777777777778] [0.7370892018779343]
[BasicPig] [0.022222222222222223] [0.05] [0.8437037037037037] [0.7370892018779343]
[BasicPig] [0.022222222222222223] [0.05] [0.7925925925925926] [0.7370892018779343]
[BasicPig] [0.022222222222222223] [0.05] [0.7437037037037038] [0.7386541471048513]
[BasicPig] [0.022222222222222223] [0.05] [0.697037037037037] [0.7355242566510172]
[BasicPig] [0.022222222222222223] [0.05] [0.6481481481481481] [0.7402190923317684]
[BasicPig] [0.022222222222222223] [0.05] [0.597037037037037] [0.7402190923317684]
[BasicPig] [0.022222222222222223] [0.05] [0.5422222222222223] [0.7386541471048513]
[BasicPig] [0.022222222222222223] [0.05] [0.48962962962962964] [0.7386541471048513]
[BasicPig] [0.022222222222222223] [0.05] [0.43925925925925924] [0.7417840375586855]
[BasicPig] [0.022222222222222223] [0.05] [0.39185185185185184] [0.7386541471048513]
[BasicPig] [0.022222222222222223] [0.05] [0.3496296296296296] [0.7402190923317684]
[WoodBlock] [0.014814814814814815] [0.12519561815336464] [0.2162962962962963] [0.6744913928012519]
[Slingshot] [0.03333333333333333] [0.16] [0.06444444444444444] [0.6416275430359938]
[WoodBlock] [0.014814814814814815] [0.12519561815336464] [0.2162962962962963] [0.5508607198748043]
[WoodBlock] [0.022222222222222223] [0.24413145539906103] [0.21259259259259258] [0.5555555555555556]
[WoodBlock] [0.014074074074074074] [0.24256651017214398] [0.21555555555555556] [0.5571205007824727]
[WoodBlock] [0.007407407407407408] [0.23317683881064163] [0.23185185185185186] [0.5665101721439749]
[WoodBlock] [0.006666666666666667] [0.215962441314554] [0.2348148148148148] [0.5790297339593115]
[WoodBlock] [0.008888888888888889] [0.20970266040688576] [0.2362962962962963] [0.5899843505477308]
[WoodBlock] [0.01037037037037037] [0.19874804381846636] [0.23925925925925925] [0.6009389671361502]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.75]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.70]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.65]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.60]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.55]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.50]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.45]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.40]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.35]
[RedBird] [0.022222222222222223] [0.05] [0.03] [0.30]
