[Background] [splash_screen_background.jpg]
[WoodBlock] [0.2659259259259259] [0.12050078247261346] [0.362962962962963] [0.6791862284820032]
[BasicPig] [0.022222222222222223] [0.05] [0.36814814814814817] [0.6291079812206573]
[BasicPig] [0.022222222222222223] [0.05] [0.41185185185185186] [0.6275430359937402]
[BasicPig] [0.022222222222222223] [0.05] [0.43407407407407406] [0.6259780907668232]
[BasicPig] [0.022222222222222223] [0.05] [0.39037037037037037] [0.6291079812206573]
[BasicPig] [7.407407407407407E-4] [0.0] [0.4614814814814815] [0.37089201877934275]
[BasicPig] [0.022222222222222223] [0.05] [0.42518518518518517] [0.5805946791862285]
[BasicPig] [0.022222222222222223] [0.05] [0.38296296296296295] [0.5821596244131455]
[BasicPig] [0.022222222222222223] [0.05] [0.4540740740740741] [0.6291079812206573]
[BasicPig] [0.022222222222222223] [0.05] [0.40370370370370373] [0.5805946791862285]
[BasicPig] [0.022222222222222223] [0.05] [0.4674074074074074] [0.5821596244131455]
[BasicPig] [0.022222222222222223] [0.05] [0.47333333333333333] [0.6291079812206573]
[BasicPig] [0.022222222222222223] [0.05] [0.5103703703703704] [0.5837245696400626]
[BasicPig] [0.022222222222222223] [0.05] [0.48814814814814816] [0.5805946791862285]
[BasicPig] [0.0] [0.0] [0.7674074074074074] [0.26291079812206575]
[BasicPig] [0.022222222222222223] [0.05] [0.5785185185185185] [0.5852895148669797]
[BasicPig] [0.022222222222222223] [0.05] [0.5133333333333333] [0.5367762128325508]
[BasicPig] [0.022222222222222223] [0.05] [0.534074074074074] [0.6306729264475743]
[BasicPig] [0.022222222222222223] [0.05] [0.5148148148148148] [0.6306729264475743]
[BasicPig] [0.022222222222222223] [0.05] [0.49333333333333335] [0.6291079812206573]
[BasicPig] [0.022222222222222223] [0.05] [0.5318518518518518] [0.5852895148669797]
[BasicPig] [0.022222222222222223] [0.05] [0.5555555555555556] [0.5852895148669797]
[BasicPig] [0.022222222222222223] [0.05] [0.48962962962962964] [0.5305164319248826]
[BasicPig] [0.022222222222222223] [0.05] [0.5325925925925926] [0.5336463223787168]
[BasicPig] [0.022222222222222223] [0.05] [0.5555555555555556] [0.5352112676056338]
[BasicPig] [0.022222222222222223] [0.05] [0.44592592592592595] [0.5790297339593115]
[BasicPig] [0.022222222222222223] [0.05] [0.5548148148148148] [0.6306729264475743]
[BasicPig] [0.022222222222222223] [0.05] [0.5977777777777777] [0.6291079812206573]
[BasicPig] [0.022222222222222223] [0.05] [0.5762962962962963] [0.6306729264475743]
[BasicPig] [0.022222222222222223] [0.05] [0.4674074074074074] [0.5336463223787168]
[BasicPig] [0.0014814814814814814] [0.0] [0.33037037037037037] [0.1705790297339593]
[BasicPig] [0.022222222222222223] [0.05] [0.4444444444444444] [0.5352112676056338]
[BasicPig] [0.022222222222222223] [0.05] [0.4237037037037037] [0.5352112676056338]
[BasicPig] [0.022222222222222223] [0.05] [0.4022222222222222] [0.5289514866979655]
[BasicPig] [0.022222222222222223] [0.05] [0.5362962962962963] [0.48982785602503914]
[BasicPig] [0.022222222222222223] [0.05] [0.5177777777777778] [0.48513302034428796]
[BasicPig] [0.022222222222222223] [0.05] [0.5162962962962963] [0.4381846635367762]
[BasicPig] [0.022222222222222223] [0.05] [0.45481481481481484] [0.48826291079812206]
[BasicPig] [0.022222222222222223] [0.05] [0.4748148148148148] [0.48513302034428796]
[BasicPig] [0.022222222222222223] [0.05] [0.49703703703703705] [0.4835680751173709]
[BasicPig] [0.022222222222222223] [0.05] [0.4311111111111111] [0.49139280125195617]
[BasicPig] [0.022222222222222223] [0.05] [0.48592592592592593] [0.3442879499217527]
[BasicPig] [0.022222222222222223] [0.05] [0.47555555555555556] [0.39280125195618154]
[BasicPig] [0.022222222222222223] [0.05] [0.49925925925925924] [0.39280125195618154]
[BasicPig] [7.407407407407407E-4] [0.001564945226917058] [0.46444444444444444] [0.21752738654147105]
[BasicPig] [0.022222222222222223] [0.05] [0.49703703703703705] [0.4381846635367762]
[BasicPig] [0.02148148148148148] [0.048513302034428794] [0.4585185185185185] [0.4381846635367762]
[BasicPig] [0.01925925925925926] [0.04381846635367762] [0.4792592592592593] [0.4397496087636933]
[Slingshot] [0.03333333333333333] [0.16] [0.13703703703703704] [0.6416275430359938]
[RedBird] [0.0] [0.001564945226917058] [0.07037037037037037] [0.7449139280125195]
[RedBird] [0.022222222222222223] [0.05] [0.05333333333333334] [0.7417840375586855]
[RedBird] [0.022222222222222223] [0.05] [0.08148148148148149] [0.7402190923317684]
